	Lambda	X
343	0.343	0.21151283572660165
344	0.34400000000000003	0.2155311831102998
345	0.34500000000000003	0.21945997087575542
346	0.34600000000000003	0.2233040313125336
347	0.34700000000000003	0.22706776995808287
348	0.34800000000000003	0.23075521695106482
349	0.34900000000000003	0.234370070682838
350	0.35000000000000003	0.2379157351149718
351	0.35100000000000003	0.24139535185235836
352	0.352	0.24481182784655567
353	0.353	0.24816785943657071
354	0.354	0.2514659533027932
355	0.355	0.25470844480574384
356	0.356	0.25789751409836525
357	0.357	0.26103520033404143
358	0.358	0.2641234142388044
359	0.359	0.2671639492725383
360	0.36	0.2701584915683403
361	0.361	0.2731086288099163
362	0.362	0.276015858182714
363	0.363	0.27888159351445774
364	0.364	0.2817071717040348
365	0.365	0.28449385852371073
366	0.366	0.2872428538678982
367	0.367	0.2899552965117943
368	0.368	0.29263226843480716
369	0.369	0.29527479875655493
370	0.37	0.29788386732713695
371	0.371	0.3004604080081673
372	0.372	0.3030053116765906
373	0.373	0.305519428979447
374	0.374	0.308003572864434
375	0.375	0.3104585209082228
376	0.376	0.3128850174619959
377	0.377	0.3152837756314864
378	0.378	0.3176554791069038
379	0.379	0.32000078385646064
380	0.38	0.3223203196957644
381	0.381	0.32461469174404556
382	0.382	0.32688448177707013
383	0.383	0.32913024948558317
384	0.384	0.3313525336472468
385	0.385	0.333551853219256
386	0.386	0.3357287083581174
387	0.387	0.3378835813724577
388	0.388	0.3400169376141808
389	0.389	0.3421292263127936
390	0.39	0.3442208813572869
391	0.391	0.34629232202955745
392	0.392	0.34834395369300636
393	0.393	0.35037616843962993
394	0.394	0.35238934569863173
395	0.395	0.3543838528093259
396	0.396	0.35636004556087203
397	0.397	0.3583182687011652
398	0.398	0.36025885641701905
399	0.399	0.362182132787605
400	0.4	0.36408841221295224
401	0.401	0.36597799981917306
402	0.402	0.3678511918419465
403	0.403	0.3697082759896739
404	0.404	0.37154953178761857
405	0.405	0.37337523090423114
406	0.406	0.3751856374607869
407	0.40700000000000003	0.37698100832536635
408	0.40800000000000003	0.37876159339214266
409	0.40900000000000003	0.3805276358468684
410	0.41000000000000003	0.3822793724193874
411	0.41100000000000003	0.3840170336239462
412	0.41200000000000003	0.3857408439880169
413	0.41300000000000003	0.38745102227030387
414	0.41400000000000003	0.3891477816685507
415	0.41500000000000004	0.39083133001773285
416	0.41600000000000004	0.3925018699791724
417	0.417	0.39415959922108396
418	0.418	0.3958047105910218
419	0.419	0.3974373922806721
420	0.42	0.39905782798340195
421	0.421	0.40066619704495454
422	0.422	0.40226267460765114
423	0.423	0.40384743174844323
424	0.424	0.4054206356111316
425	0.425	0.4069824495330548
426	0.426	0.408533033166526
427	0.427	0.41007254259528697
428	0.428	0.41160113044622476
429	0.429	0.41311894599658827
430	0.43	0.4146261352769248
431	0.431	0.4161228411699447
432	0.432	0.41760920350551034
433	0.433	0.41908535915193573
434	0.434	0.4205514421037698
435	0.435	0.4220075835662299
436	0.436	0.42345391203644056
437	0.437	0.42489055338162535
438	0.438	0.42631763091439157
439	0.439	0.4277352654652384
440	0.44	0.4291435754524149
441	0.441	0.4305426769492452
442	0.442	0.4319326837490334
443	0.443	0.4333137074276536
444	0.444	0.43468585740392696
445	0.445	0.4360492409978804
446	0.446	0.43740396348697813
447	0.447	0.43875012816041215
448	0.448	0.44008783637153276
449	0.449	0.44141718758849874
450	0.45	0.4427382794432183
451	0.451	0.44405120777865437
452	0.452	0.445356066694558
453	0.453	0.4466529485916963
454	0.454	0.4479419442146332
455	0.455	0.449223142693123
456	0.456	0.4504966315821698
457	0.457	0.45176249690080655
458	0.458	0.45302082316964337
459	0.459	0.45427169344723306
460	0.46	0.45551518936529856
461	0.461	0.45675139116286734
462	0.462	0.4579803777193528
463	0.463	0.45920222658662296
464	0.464	0.4604170140200946
465	0.465	0.4616248150088885
